SNo.,l1Size,l1nl2ratio,l1assoc,l2assoc,l1Latency,l2Latency,blkSize,simSeconds,hostInstRate,numCycles,cpu.cpi,cpu.ipc,dcache.overallMissRate::total,dcache.overallAvgMissLatency::total,icache.overallMissRate::total,icache.overallAvgMissLatency::total,l2cache.overallMissRate::total,l2cache.overallAvgMissLatency::total
201,128kB,8,2,16,5,30,0,0.006806,913464.0,4082575.0,9.161664,0.10915,0.002395,185900.809091,0.000949,181737.489655,0.979432,167571.841
202,128kB,4,4,8,3,30,4,0.01384,982413.0,8302448.0,5.441966,0.183757,0.000754,180812.670455,0.000268,175581.984375,0.987217,167651.385458
203,64kB,2,2,16,5,20,0,0.006772,922469.0,4062122.0,9.115766,0.1097,0.002395,152659.313636,0.000949,148170.432759,0.979432,133793.42
204,128kB,2,4,16,3,30,8,0.019823,971365.0,11891605.0,5.366073,0.186356,0.000533,180058.731818,0.000186,175694.854167,0.987217,167385.728088
205,64kB,4,2,16,5,30,0,0.006806,922764.0,4082575.0,9.161664,0.10915,0.002395,185900.809091,0.000949,181737.489655,0.979432,167571.841
206,64kB,2,4,8,3,20,8,0.01979,1013766.0,11871526.0,5.357013,0.186671,0.000533,145290.415909,0.000186,144143.40625,0.987217,134230.027888
207,64kB,4,4,16,3,30,4,0.01384,1004732.0,8302448.0,5.441966,0.183757,0.000754,180812.670455,0.000268,175581.984375,0.987217,167651.385458
208,64kB,2,4,16,3,30,4,0.01384,1014005.0,8302448.0,5.441966,0.183757,0.000754,180812.670455,0.000268,175581.984375,0.987217,167651.385458
209,64kB,2,2,16,3,20,8,0.01979,1034110.0,11871526.0,5.357013,0.186671,0.000533,145495.002273,0.000188,142318.337907,0.980469,133939.465139
210,64kB,2,2,8,3,30,0,0.004152,915791.0,2490863.0,5.58972,0.1789,0.002395,180717.954545,0.000949,175322.413793,0.979432,168372.001
211,64kB,2,2,8,3,20,0,0.004118,935893.0,2470079.0,5.543079,0.180405,0.002395,145934.484091,0.000949,141973.791379,0.979432,134041.803
212,64kB,4,4,16,3,20,4,0.013806,1012923.0,8282179.0,5.42868,0.184207,0.000754,145472.270455,0.000268,143917.666667,0.987217,134180.217131
213,128kB,4,4,8,3,30,8,0.019823,1022834.0,11891605.0,5.366073,0.186356,0.000533,180058.731818,0.000186,175694.854167,0.987217,167385.728088
214,64kB,4,2,16,3,20,0,0.004118,908587.0,2470079.0,5.543079,0.180405,0.002395,145934.484091,0.000949,141973.791379,0.979432,134041.803
215,64kB,4,2,8,5,20,0,0.006772,935267.0,4062122.0,9.115766,0.1097,0.002395,152659.313636,0.000949,148170.432759,0.979432,133793.42
